region,tournament,season,stage,competition,date,time_or_status,home_team,away_team,match_id,home_score,away_score,home_odds,draw_odds,away_odds
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Sep 17 2024",FT,BSC Young Boys,Aston Villa,1866228,0,3,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",FT,Bologna,Borussia Dortmund,1866134,2,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",FT,Monaco,Aston Villa,1866234,1,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",FT,Atalanta,Sturm Graz,1866175,5,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",FT,Slovan Bratislava,VfB Stuttgart,1866232,1,3,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",FT,FK Crvena Zvezda,PSV Eindhoven,1866213,2,3,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",,Club Bruges,Juventus,1866179,0,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",FT,Atletico Madrid,Bayer Leverkusen,1866155,2,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",FT,Liverpool,Lille,1866150,2,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Jan 21 2025",FT,Benfica,Barcelona,1866136,4,5,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,Shakhtar Donetsk,Brest,1866199,2,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Nov 27 2024",FT,Celtic,Club Bruges,1866194,1,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,RB Leipzig,Sporting CP,1866123,2,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,Celtic,BSC Young Boys,1866227,1,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,AC Milan,Girona,1866203,1,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,Arsenal,Dinamo Zagreb,1866188,3,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,Real Madrid,Salzburg,1866145,5,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,Feyenoord,Bayern Munich,1866117,3,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,Sparta Prague,Inter,1866111,0,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Jan 22 2025",FT,Paris Saint-Germain,Manchester City,1866098,4,2,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Dec 11 2024",FT,Juventus,Manchester City,1866100,2,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Dec 11 2024",FT,Borussia Dortmund,Barcelona,1866128,2,3,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Dec 11 2024",,Benfica,Bologna,1866186,0,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Dec 11 2024",FT,Arsenal,Monaco,1866190,3,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Nov 27 2024",,Aston Villa,Juventus,1866182,0,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Nov 27 2024",FT,Liverpool,Real Madrid,1866141,2,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Nov 27 2024",FT,Dinamo Zagreb,Borussia Dortmund,1866132,0,3,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Dec 10 2024",,Dinamo Zagreb,Celtic,1866216,0,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Dec 10 2024",FT,Girona,Liverpool,1866153,0,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Dec 10 2024",FT,Brest,PSV Eindhoven,1866215,1,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Dec 10 2024",FT,Club Bruges,Sporting CP,1866193,2,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Dec 10 2024",FT,Salzburg,Paris Saint-Germain,1866168,0,3,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Dec 10 2024",FT,Atalanta,Real Madrid,1866142,2,3,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Sep 17 2024",FT,Juventus,PSV Eindhoven,1866178,3,1,,,
