region,tournament,season,stage,competition,date,time_or_status,home_team,away_team,match_id,home_score,away_score,home_odds,draw_odds,away_odds
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Sep 17 2024",FT,Juventus,PSV Eindhoven,1866178.0,3,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Oct 22 2024",FT,Monaco,FK Crvena Zvezda,1866226.0,5,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Thursday, Sep 19 2024",FT,Feyenoord,Bayer Leverkusen,1866157.0,0,4,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Thursday, Sep 19 2024",FT,FK Crvena Zvezda,Benfica,1866185.0,1,2,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Thursday, Sep 19 2024",FT,Brest,Sturm Graz,1866240.0,2,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Thursday, Sep 19 2024",,Atalanta,Arsenal,1866171.0,0,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Oct 02 2024",FT,RB Leipzig,Juventus,1866121.0,2,3,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Oct 01 2024",FT,Barcelona,BSC Young Boys,1866137.0,5,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Wednesday, Nov 06 2024",FT,Club Bruges,Aston Villa,1866195.0,1,0,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Nov 05 2024",FT,Slovan Bratislava,Dinamo Zagreb,1866219.0,1,4,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Nov 05 2024",FT,Lille,Juventus,1866181.0,1,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Nov 05 2024",FT,Sporting CP,Manchester City,1866102.0,4,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Nov 05 2024",FT,Celtic,RB Leipzig,1866124.0,3,1,,,
250,12,10456,23663,Europe-Champions-League-2024-2025,"Tuesday, Nov 05 2024",FT,Borussia Dortmund,Sturm Graz,1866133.0,1,0,,,
